as_of_date,clinicalstatus,vaccination_status,count_of_case
2022-10-18,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.03
2022-10-19,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.03
2022-10-20,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.03
2022-10-21,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.03
2022-10-22,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.03
2022-10-23,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.03
2022-10-24,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.03
2022-10-25,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-10-26,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-10-27,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-10-28,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-10-29,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-10-30,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-10-31,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-11-01,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-11-02,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-11-03,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-11-04,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-10-08,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-10-09,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-10-10,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-10-11,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-10-12,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-10-13,Deceased (based on date of death),Non-Fully Vaccinated,0.02
2022-10-14,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-10-15,Deceased (based on date of death),Non-Fully Vaccinated,0.06
2022-10-16,Deceased (based on date of death),Non-Fully Vaccinated,0.06
2022-10-17,Deceased (based on date of death),Non-Fully Vaccinated,0.08
2022-10-18,Deceased (based on date of death),Non-Fully Vaccinated,0.1
2022-10-19,Deceased (based on date of death),Non-Fully Vaccinated,0.14
2022-10-20,Deceased (based on date of death),Non-Fully Vaccinated,0.16
2022-10-21,Deceased (based on date of death),Non-Fully Vaccinated,0.12
2022-10-22,Deceased (based on date of death),Non-Fully Vaccinated,0.1
2022-10-23,Deceased (based on date of death),Non-Fully Vaccinated,0.14
2022-10-24,Deceased (based on date of death),Non-Fully Vaccinated,0.16
2022-10-25,Deceased (based on date of death),Non-Fully Vaccinated,0.14
2022-10-26,Deceased (based on date of death),Non-Fully Vaccinated,0.14
2022-10-27,Deceased (based on date of death),Non-Fully Vaccinated,0.14
2022-10-28,Deceased (based on date of death),Non-Fully Vaccinated,0.14
2022-10-29,Deceased (based on date of death),Non-Fully Vaccinated,0.14
2022-10-30,Deceased (based on date of death),Non-Fully Vaccinated,0.1
2022-10-31,Deceased (based on date of death),Non-Fully Vaccinated,0.06
2022-11-01,Deceased (based on date of death),Non-Fully Vaccinated,0.08
2022-11-02,Deceased (based on date of death),Non-Fully Vaccinated,0.06
2022-11-03,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-11-04,Deceased (based on date of death),Non-Fully Vaccinated,0.06
2022-10-08,ICU,Fully Vaccinated (With Booster),0.18
2022-10-09,ICU,Fully Vaccinated (With Booster),0.19
2022-10-10,ICU,Fully Vaccinated (With Booster),0.19
2022-10-11,ICU,Fully Vaccinated (With Booster),0.19
2022-10-12,ICU,Fully Vaccinated (With Booster),0.19
2022-10-13,ICU,Fully Vaccinated (With Booster),0.2
2022-10-14,ICU,Fully Vaccinated (With Booster),0.18
2022-10-15,ICU,Fully Vaccinated (With Booster),0.19
2022-10-16,ICU,Fully Vaccinated (With Booster),0.2
2022-10-17,ICU,Fully Vaccinated (With Booster),0.22
2022-10-18,ICU,Fully Vaccinated (With Booster),0.22
2022-10-19,ICU,Fully Vaccinated (With Booster),0.23
2022-10-20,ICU,Fully Vaccinated (With Booster),0.23
2022-10-21,ICU,Fully Vaccinated (With Booster),0.25
2022-10-22,ICU,Fully Vaccinated (With Booster),0.26
2022-10-23,ICU,Fully Vaccinated (With Booster),0.25
2022-10-24,ICU,Fully Vaccinated (With Booster),0.24
2022-10-25,ICU,Fully Vaccinated (With Booster),0.23
2022-10-26,ICU,Fully Vaccinated (With Booster),0.24
2022-10-27,ICU,Fully Vaccinated (With Booster),0.25
2022-10-28,ICU,Fully Vaccinated (With Booster),0.26
2022-10-29,ICU,Fully Vaccinated (With Booster),0.26
2022-10-30,ICU,Fully Vaccinated (With Booster),0.27
2022-10-31,ICU,Fully Vaccinated (With Booster),0.28
2022-11-01,ICU,Fully Vaccinated (With Booster),0.31
2022-11-02,ICU,Fully Vaccinated (With Booster),0.3
2022-11-03,ICU,Fully Vaccinated (With Booster),0.3
2022-11-04,ICU,Fully Vaccinated (With Booster),0.29
2022-10-08,ICU,Fully Vaccinated (Without Booster),0.15
2022-10-09,ICU,Fully Vaccinated (Without Booster),0.12
2022-10-10,ICU,Fully Vaccinated (Without Booster),0.12
2022-10-11,ICU,Fully Vaccinated (Without Booster),0.12
2022-10-12,ICU,Fully Vaccinated (Without Booster),0.09
2022-10-13,ICU,Fully Vaccinated (Without Booster),0.06
2022-10-14,ICU,Fully Vaccinated (Without Booster),0.09
2022-10-15,ICU,Fully Vaccinated (Without Booster),0.12
2022-10-16,ICU,Fully Vaccinated (Without Booster),0.15
2022-10-17,ICU,Fully Vaccinated (Without Booster),0.18
2022-10-18,ICU,Fully Vaccinated (Without Booster),0.21
2022-10-19,ICU,Fully Vaccinated (Without Booster),0.27
2022-10-20,ICU,Fully Vaccinated (Without Booster),0.3
2022-10-21,ICU,Fully Vaccinated (Without Booster),0.31
2022-10-22,ICU,Fully Vaccinated (Without Booster),0.31
2022-10-23,ICU,Fully Vaccinated (Without Booster),0.28
2022-10-24,ICU,Fully Vaccinated (Without Booster),0.22
2022-10-25,ICU,Fully Vaccinated (Without Booster),0.19
2022-10-26,ICU,Fully Vaccinated (Without Booster),0.16
2022-10-27,ICU,Fully Vaccinated (Without Booster),0.16
2022-10-28,ICU,Fully Vaccinated (Without Booster),0.13
2022-10-29,ICU,Fully Vaccinated (Without Booster),0.1
2022-10-30,ICU,Fully Vaccinated (Without Booster),0.1
2022-10-31,ICU,Fully Vaccinated (Without Booster),0.1
2022-11-01,ICU,Fully Vaccinated (Without Booster),0.07
2022-11-02,ICU,Fully Vaccinated (Without Booster),0.03
2022-11-03,ICU,Fully Vaccinated (Without Booster),0.0
2022-11-04,ICU,Fully Vaccinated (Without Booster),0.0
2022-10-08,ICU,Non-Fully Vaccinated,0.23
2022-10-09,ICU,Non-Fully Vaccinated,0.25
2022-10-10,ICU,Non-Fully Vaccinated,0.25
2022-10-11,ICU,Non-Fully Vaccinated,0.25
2022-10-12,ICU,Non-Fully Vaccinated,0.27
2022-10-13,ICU,Non-Fully Vaccinated,0.27
2022-10-14,ICU,Non-Fully Vaccinated,0.25
2022-10-15,ICU,Non-Fully Vaccinated,0.27
2022-10-16,ICU,Non-Fully Vaccinated,0.25
2022-10-17,ICU,Non-Fully Vaccinated,0.25
2022-10-18,ICU,Non-Fully Vaccinated,0.25
2022-10-19,ICU,Non-Fully Vaccinated,0.23
2022-10-20,ICU,Non-Fully Vaccinated,0.23
2022-10-21,ICU,Non-Fully Vaccinated,0.22
2022-10-22,ICU,Non-Fully Vaccinated,0.2
2022-10-23,ICU,Non-Fully Vaccinated,0.2
2022-10-24,ICU,Non-Fully Vaccinated,0.2
2022-10-25,ICU,Non-Fully Vaccinated,0.18
2022-10-26,ICU,Non-Fully Vaccinated,0.18
2022-10-27,ICU,Non-Fully Vaccinated,0.16
2022-10-28,ICU,Non-Fully Vaccinated,0.14
2022-10-29,ICU,Non-Fully Vaccinated,0.12
2022-10-30,ICU,Non-Fully Vaccinated,0.12
2022-10-31,ICU,Non-Fully Vaccinated,0.14
2022-11-01,ICU,Non-Fully Vaccinated,0.19
2022-11-02,ICU,Non-Fully Vaccinated,0.25
2022-11-03,ICU,Non-Fully Vaccinated,0.29
2022-11-04,ICU,Non-Fully Vaccinated,0.32
