Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Trinidad and Tobago,Americas,184854,13208.688,141,10.075,0,4255,304.04,6,0.429,0
Ghana,Africa,170707,549.375,0,0,0,1460,4.699,0,0,0
Namibia,Africa,169929,6687.735,0,0,0,4080,160.573,0,0,0
Uganda,Africa,169378,370.298,0,0,0,3630,7.936,0,0,0
Jamaica,Americas,151931,5130.781,0,0,0,3320,112.118,0,0,0
Cambodia,Western Pacific,137995,825.38,16,0.096,2,3056,18.279,0,0,0
Rwanda,Africa,132556,1023.423,0,0,0,1467,11.326,0,0,0
Cameroon,Africa,123629,465.719,0,0,0,1960,7.383,0,0,0
Malta,Europe,115447,22435.887,140,27.207,22,808,157.026,0,0,0
Barbados,Americas,103424,35989.213,410,142.671,0,560,194.867,0,0,0
Angola,Africa,103131,313.79,0,0,0,1917,5.833,0,0,0
French Guiana,Americas,94259,31558.313,63,21.093,0,411,137.605,0,0,0
Democratic Republic of the Congo,Africa,93085,103.934,0,0,0,1445,1.613,0,0,0
Senegal,Africa,88679,529.619,0,0,0,1968,11.754,0,0,0
Malawi,Africa,88099,460.529,7,0.037,0,2683,14.025,0,0,0
Côte d’Ivoire,Africa,87788,332.804,57,0.216,0,828,3.139,1,0.004,0
Suriname,Americas,81228,13846.5,43,7.33,0,1392,237.287,2,0.341,0
French Polynesia,Western Pacific,76764,27327.096,6,2.136,0,649,231.036,0,0,0
New Caledonia,Western Pacific,74440,26073.738,34,11.909,0,314,109.983,0,0,0
Eswatini,Africa,73558,6340.311,32,2.758,0,1422,122.569,0,0,0
Guyana,Americas,71438,9082.426,7,0.89,0,1281,162.863,0,0,0
Belize,Americas,68957,17342.089,14,3.521,0,687,172.775,0,0,0
Fiji,Western Pacific,68270,7615.637,6,0.669,6,878,97.942,0,0,0
Madagascar,Africa,66746,241.038,40,0.144,0,1411,5.096,0,0,0
Sudan,Eastern Mediterranean,63509,144.835,28,0.064,0,4972,11.339,0,0,0
Mauritania,Africa,63349,1362.444,16,0.344,0,997,21.442,0,0,0
Cabo Verde,Africa,62397,11222.744,0,0,0,410,73.743,0,0,0
Bhutan,South-East Asia,62380,8084.416,49,6.35,0,21,2.722,0,0,0
Jersey,Europe,62014,57529.036,270,250.473,7,141,130.803,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57364,327.782,8,0.046,0,3163,18.074,0,0,0
Burundi,Africa,50470,424.446,0,0,0,15,0.126,0,0,0
Guam,Western Pacific,49127,29107.984,110,65.176,0,403,238.779,2,1.185,0
Seychelles,Africa,49035,49859.172,0,0,0,171,173.874,0,0,0
Gabon,Africa,48945,2199.05,0,0,0,306,13.748,0,0,0
Andorra,Europe,46588,60296.383,53,68.595,0,155,200.608,0,0,0
Papua New Guinea,Western Pacific,45550,509.108,108,1.207,0,668,7.466,0,0,0
Curaçao,Americas,45489,27721.475,22,13.407,0,293,178.557,3,1.828,0
Aruba,Americas,43379,40629.976,45,42.148,0,233,218.234,1,0.937,0
Mayotte,Africa,40339,14786.21,19,6.964,19,187,68.545,0,0,0
United Republic of Tanzania,Africa,40054,67.054,134,0.224,0,845,1.415,0,0,0
Togo,Africa,39298,474.687,4,0.048,0,290,3.503,0,0,0
Guinea,Africa,38047,289.71,0,0,0,456,3.472,0,0,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Bahamas,Americas,37386,9507.074,4,1.017,0,833,211.828,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34490,1609.99,0,0,0,706,32.956,0,0,0
Haiti,Americas,33828,296.671,0,0,0,860,7.542,0,0,0
Mali,Africa,32737,161.658,14,0.069,0,742,3.664,0,0,0
Guernsey,Europe,32466,50359.868,142,220.264,0,64,99.274,0,0,0
Cayman Islands,Americas,31096,47315.886,90,136.945,0,35,53.256,1,1.522,0
Saint Lucia,Americas,29654,16149.041,15,8.169,0,407,221.645,0,0,0
Benin,Africa,27782,229.164,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27237,171.375,0,0,0,1361,8.563,0,0,0
Congo,Africa,24775,448.978,0,0,0,386,6.995,0,0,0
United States Virgin Islands,Americas,23367,22376.825,56,53.627,0,124,118.746,0,0,0
Timor-Leste,South-East Asia,23303,1767.461,3,0.228,0,138,10.467,0,0,0
Micronesia (Federated States of),Western Pacific,22203,19303.096,0,0,0,55,47.817,0,0,0
San Marino,Europe,21662,63828.157,78,229.831,31,119,350.639,0,0,0
Burkina Faso,Africa,21631,103.481,0,0,0,387,1.851,0,0,0
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0
Liechtenstein,Europe,20663,53328,41,105.815,0,86,221.953,0,0,0
Gibraltar,Europe,20121,59722.181,0,0,0,108,320.56,0,0,0
Grenada,Americas,19604,17422.216,13,11.553,13,237,210.624,0,0,0
Bermuda,Americas,18428,29592.279,88,141.313,88,149,239.269,1,1.606,1
South Sudan,Africa,18318,163.645,538,4.806,0,138,1.233,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
Equatorial Guinea,Africa,17077,1217.19,3,0.214,0,183,13.044,0,0,0
Tonga,Western Pacific,16182,15310.09,0,0,0,12,11.353,0,0,0
Samoa,Western Pacific,15946,8036.731,0,0,0,29,14.616,0,0,0
Dominica,Americas,15760,21891.625,0,0,0,74,102.791,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Marshall Islands,Western Pacific,15382,25985.742,7,11.826,0,17,28.719,0,0,0
Central African Republic,Africa,15259,315.937,0,0,0,113,2.34,0,0,0
Nicaragua,Americas,15186,229.238,20,0.302,0,245,3.698,0,0,0
Monaco,Europe,14995,38209.663,59,150.341,7,65,165.63,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13171,22883.403,0,0,0,40,69.496,0,0,0
Gambia,Africa,12580,520.551,17,0.703,0,372,15.393,0,0,0
Saint Martin,Americas,12026,31107.892,0,0,0,46,118.989,0,0,0
Vanuatu,Western Pacific,11981,3900.763,0,0,0,14,4.558,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11944,40.046,5,0.017,0,2158,7.235,0,0,0
Sint Maarten,Americas,10931,25490.882,9,20.988,0,89,207.546,1,2.332,0
Eritrea,Africa,10188,287.276,1,0.028,0,103,2.904,0,0,0
Bonaire,Americas,9531,45570.165,15,71.719,0,31,148.219,0,0,0
Saint Vincent and the Grenadines,Americas,9459,8526.23,2,1.803,0,116,104.561,0,0,0
Niger,Africa,9429,38.952,4,0.017,0,314,1.297,0,0,0
Antigua and Barbuda,Americas,9106,9298.573,0,0,0,146,149.088,0,0,0
Guinea-Bissau,Africa,8848,449.593,0,0,0,176,8.943,0,0,0
Comoros,Africa,8762,1007.589,0,0,0,160,18.399,0,0,0
American Samoa,Western Pacific,8257,14959.146,0,0,0,34,61.598,0,0,0
Liberia,Africa,7996,158.096,0,0,0,294,5.813,0,0,0
Sierra Leone,Africa,7754,97.205,0,0,0,125,1.567,0,0,0
Chad,Africa,7627,46.433,7,0.043,0,194,1.181,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Saint Kitts and Nevis,Americas,6549,12312.002,1,1.88,0,46,86.479,0,0,0
Turks and Caicos Islands,Americas,6431,16609.846,2,5.166,0,36,92.98,0,0,0
Cook Islands,Western Pacific,6389,36375.541,0,0,0,1,5.693,0,0,0
Sao Tome and Principe,Africa,6270,2860.937,4,1.825,0,77,35.134,0,0,0
Palau,Western Pacific,5513,30472.032,0,0,0,7,38.691,0,0,0
Saint Barthélemy,Americas,5323,53849.267,0,0,0,5,50.582,0,0,0
Nauru,Western Pacific,4610,42551.228,0,0,0,1,9.23,0,0,0
Anguilla,Americas,3866,25769.897,0,0,0,12,79.989,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Wallis and Futuna,Western Pacific,3415,30366.352,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,3230,55737.705,4,69.025,0,1,17.256,0,0,0
Saint Helena,Africa,2045,33684.731,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,1930,55412.001,0,0,0,0,0,0,0,0
Montserrat,Americas,1403,28065.613,0,0,0,8,160.032,0,0,0
Sint Eustatius,Americas,1204,38356.164,2,63.715,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,732,37868.598,0,0,0,2,103.466,0,0,0
Niue,Western Pacific,85,5253.399,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,23,195.047,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
